ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI,discretized_Year
2639,Hans Daniel Alfredsson,1,0.6500000000000001,81,7,0.875,1,5,24,213,1,0.3831588729639943,2
2651,Sara Anneli Algotsson Ostholt,0,0.55,81,6,0.75,0,2,15,167,1,0.2034549645740582,2
2695,Nia Sifaatihii Ali,0,0.30000000000000004,92,8,1.0,0,3,2,40,1,0.2414003713408277,2
2735,Sergey Gennadyevich Alifirenko,1,0.6500000000000001,74,0,0.0,0,6,33,273,2,0.3224040281290569,0
2735,Sergey Gennadyevich Alifirenko,1,0.75,74,2,0.25,0,0,33,273,0,0.3224040281290569,0
2739,Mirko Alilovi,1,0.275,18,6,0.75,0,2,22,209,0,0.37579538576999993,2
2750,Aline Pellegrino,0,0.17500000000000004,10,2,0.25,0,0,18,186,1,0.22589733229816522,0
2755,Aleksey Aleksandrovich Alipov,1,0.3500000000000001,74,2,0.25,0,0,33,278,2,0.33883213817242386,0
2755,Aleksey Aleksandrovich Alipov,1,0.42500000000000004,74,4,0.5,0,1,33,278,0,0.33883213817242386,1
2758,Alison Conte Cerutti,1,0.275,10,6,0.75,0,2,6,66,1,0.3281014503597134,2
2758,Alison Conte Cerutti,1,0.375,10,8,1.0,0,3,6,66,2,0.3281014503597134,2
2760,Deji Aliu,1,0.32500000000000007,61,2,0.25,0,0,2,20,0,0.21339301738679006,0
2762,Margarita Sergeyevna Aliychuk,0,0.050000000000000044,74,4,0.5,0,1,29,236,2,0.0633069695444412,1
2769,Kimia Alizadeh Zenoorin,0,0.07500000000000001,39,8,1.0,0,3,43,358,0,0.08478243642556849,2
2794,Mohamed Allalou,1,0.275,0,0,0.0,0,6,9,89,0,0.19624682159309204,0
2849,"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)",0,0.4750000000000001,4,2,0.25,0,0,46,370,2,0.1731573473462743,0
2850,"Kate Ruth ""Katie"" Allen",0,0.275,3,0,0.0,0,6,23,212,2,0.2414003713408277,0
2861,Nathon Allen,1,0.125,43,8,1.0,0,3,2,21,1,0.25601247917614767,2
2863,Walter Ray Allen,1,0.25,92,0,0.0,0,6,5,64,2,0.31482813102789464,0
2874,Wyatt Allen,1,0.25,92,2,0.25,0,0,30,238,2,0.3438493515164961,0
2874,Wyatt Allen,1,0.3500000000000001,92,4,0.5,0,1,30,238,0,0.3438493515164961,1
2875,"Sandra Louise ""Sandy"" Allen-Lewis",0,0.15000000000000002,3,0,0.0,0,6,38,304,0,0.18569259333909816,0
2875,"Sandra Louise ""Sandy"" Allen-Lewis",0,0.25,3,2,0.25,0,0,38,304,1,0.18569259333909816,0
2875,"Sandra Louise ""Sandy"" Allen-Lewis",0,0.3500000000000001,3,4,0.5,0,1,38,304,0,0.18569259333909816,1
2877,"Katherine Fiona ""Kate"" Allenby",0,0.275,30,0,0.0,0,6,27,232,0,0.25456315427861054,0
2892,Ade Franci Alleyne-Forte,1,0.20000000000000007,87,6,0.75,0,2,2,21,0,0.2424606531237824,2
2930,Carmela Allucci,0,0.4750000000000001,42,2,0.25,0,0,48,374,2,0.21517176693367634,0
2965,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",0,0.3500000000000001,81,1,0.125,1,4,24,214,0,0.2785388900086474,0
3012,Nicolas Alnoudji,1,0.125,16,0,0.0,0,6,18,185,2,0.30043227601344213,0
3029,Jessica Alonso Bernardo,0,0.32500000000000007,24,6,0.75,0,2,22,210,0,0.22744706431700357,2
3052,"Mikhail Surenovich ""Misha"" Aloyan",1,0.20000000000000007,74,6,0.75,0,2,9,85,0,0.15667329276195296,2
3055,Glory Alozie Oluchi,0,0.17500000000000004,61,0,0.0,0,6,2,40,1,0.20749843013235225,0
3069,Thomas Alsgaard (Alsgrd-),1,0.375,63,1,0.125,1,4,11,116,2,0.24739294395135536,0
3069,Thomas Alsgaard (Alsgrd-),1,0.375,63,1,0.125,1,4,11,120,2,0.24739294395135536,0
3070,Malin Therse Alshammar,0,0.20000000000000007,81,0,0.0,0,6,40,346,1,0.16792570940850537,0
3070,Malin Therse Alshammar,0,0.20000000000000007,81,0,0.0,0,6,40,335,1,0.16792570940850537,0
3070,Malin Therse Alshammar,0,0.20000000000000007,81,0,0.0,0,6,40,341,0,0.16792570940850537,0
3077,Ida Alstad,0,0.30000000000000004,63,6,0.75,0,2,22,210,2,0.1820972472917538,2
3077,Ida Alstad,0,0.4,63,8,1.0,0,3,22,210,0,0.1820972472917538,2
3093,Lutz Altepost,1,0.275,32,4,0.5,0,1,10,106,0,0.3006279285454101,1
3108,Livia Altmann,0,0.10000000000000003,79,7,0.875,1,5,24,214,0,0.2686745038519285,2
3147,Cristin Andrs lvarez Valenzuela,1,0.125,13,0,0.0,0,6,18,185,0,0.19375494892780787,0
3150,"Eduardo C. ""Eddy"" Alvarez",1,0.2250000000000001,92,7,0.875,1,5,34,287,1,0.2687388686540574,2
3174,Lzaro Jorge lvarez Estrada,1,0.15000000000000002,19,6,0.75,0,2,9,83,0,0.1758241261555804,2
3174,Lzaro Jorge lvarez Estrada,1,0.25,19,8,1.0,0,3,9,90,0,0.1758241261555804,2
3206,Yuri Alvear Orjuela,0,0.275,17,6,0.75,0,2,25,227,0,0.2442658497633512,2
3206,Yuri Alvear Orjuela,0,0.375,17,8,1.0,0,3,25,227,1,0.2442658497633512,2
3227,Thiago Soares Alves,1,0.25,10,6,0.75,0,2,47,371,1,0.2652952918834266,2
3240,Mohamed Aly Reda,1,0.3500000000000001,23,2,0.25,0,0,9,92,1,0.31428857210578676,0
3249,Maksim Nikolayevich Alyoshin,1,0.15000000000000002,74,0,0.0,0,6,21,203,0,0.2513602222972504,0
3251,Ivan Vladimirovich Alypov,1,0.20000000000000007,74,3,0.375,1,7,11,123,0,0.20158936429752983,1
3281,Simona Amnar (-Tabr),0,0.125,72,0,0.0,0,6,21,207,2,0.11083387194645206,0
3281,Simona Amnar (-Tabr),0,0.125,72,0,0.0,0,6,21,208,2,0.11083387194645206,0
3281,Simona Amnar (-Tabr),0,0.125,72,0,0.0,0,6,21,205,0,0.11083387194645206,0
3308,Catello Amarante,1,0.2250000000000001,42,2,0.25,0,0,30,242,0,0.2631279280465252,0
3324,"Pablo ""Pol"" Amat Escud",1,0.375,24,4,0.5,0,1,23,211,1,0.26286322797038686,1
3329,Serena Bibiana Amato,0,0.275,1,0,0.0,0,6,32,265,0,0.22283111200691785,0
3335,Ivn Amaya Carazo,1,0.17500000000000004,24,0,0.0,0,6,18,185,1,0.2832053726196644,0
3361,"Efetobore ""Efe"" Ambrose Emuobo",1,0.10000000000000003,61,4,0.5,0,1,18,185,1,0.175026779093588,1
3363,Christie Ambrosi,0,0.20000000000000007,92,0,0.0,0,6,38,304,2,0.2727968813422531,0
3433,Sbastien Amiez,1,0.3500000000000001,29,1,0.125,1,4,0,3,1,0.358403898903102,0
